X	Y
0.00000000	0.91569682
0.00050050	0.86216549
0.00100100	0.95063992
0.00150150	1.04796522
0.00200200	0.88194951
0.00250250	0.89156462
0.00300300	1.08242336
0.00350350	1.01067905
0.00400400	0.89633082
0.00450450	1.00678559
0.00500501	0.91534726
0.00550551	0.92418307
0.00600601	1.00392637
0.00650651	0.79728279
0.00700701	0.82490577
0.00750751	0.94986113
0.00800801	0.91340421
0.00850851	1.05461413
0.00900901	0.94079326
0.00950951	0.89867530
0.01001001	1.19468384
0.01051051	1.03365750
0.01101101	1.07100657
0.01151151	0.92969958
0.01201201	1.02555842
0.01251251	1.09881249
0.01301301	0.98024528
0.01351351	1.14043934
0.01401401	1.05023071
0.01451451	1.08845001
0.01501502	1.06467298
0.01551552	1.31719482
0.01601602	1.13763943
0.01651652	1.04013868
0.01701702	1.23498306
0.01751752	1.03736087
0.01801802	1.18694586
0.01851852	0.97660408
0.01901902	1.04616114
0.01951952	1.20497134
0.02002002	1.26533390
0.02052052	1.21472244
0.02102102	1.19201527
0.02152152	1.17936011
0.02202202	1.06740436
0.02252252	1.14895374
0.02302302	1.18045120
0.02352352	1.33769938
0.02402402	1.27171607
0.02452452	1.06631214
0.02502503	1.28018118
0.02552553	1.21431575
0.02602603	1.19007744
0.02652653	1.32377727
0.02702703	1.37044383
0.02752753	1.36510029
0.02802803	1.19257300
0.02852853	1.24999000
0.02902903	1.31834801
0.02952953	1.38698051
0.03003003	1.24560677
0.03053053	1.27895032
0.03103103	1.19076856
0.03153153	1.18556105
0.03203203	1.39010775
0.03253253	1.44804646
0.03303303	1.30868257
0.03353353	1.41959189
0.03403403	1.35865113
0.03453453	1.26111847
0.03503504	1.36480695
0.03553554	1.48540212
0.03603604	1.33084112
0.03653654	1.49360765
0.03703704	1.07778272
0.03753754	1.42445595
0.03803804	1.35337350
0.03853854	1.31706593
0.03903904	1.35833553
0.03953954	1.15249041
0.04004004	1.33126319
0.04054054	1.39082013
0.04104104	1.50467236
0.04154154	1.30672580
0.04204204	1.27926932
0.04254254	1.31140504
0.04304304	1.45447944
0.04354354	1.39706949
0.04404404	1.31237041
0.04454454	1.41772238
0.04504505	1.37705003
0.04554555	1.46505109
0.04604605	1.29872358
0.04654655	1.33680324
0.04704705	1.33089777
0.04754755	1.22419510
0.04804805	1.40049583
0.04854855	1.39722607
0.04904905	1.37176849
0.04954955	1.34783525
0.05005005	1.22969428
0.05055055	1.32900516
0.05105105	1.33653790
0.05155155	1.29022298
0.05205205	1.35386559
0.05255255	1.40984520
0.05305305	1.55740758
0.05355355	1.38549898
0.05405405	1.39295221
0.05455455	1.35881277
0.05505506	1.17334508
0.05555556	1.36144077
0.05605606	1.36889072
0.05655656	1.60787351
0.05705706	1.34090134
0.05755756	1.38878734
0.05805806	1.35356413
0.05855856	1.23847825
0.05905906	1.46784764
0.05955956	1.42688706
0.06006006	1.42883496
0.06056056	1.25674121
0.06106106	1.48581828
0.06156156	1.20312392
0.06206206	1.39967675
0.06256256	1.55763104
0.06306306	1.23703929
0.06356356	1.27688418
0.06406406	1.34081431
0.06456456	1.27775164
0.06506507	1.17019830
0.06556557	1.32920241
0.06606607	1.21311389
0.06656657	1.36361895
0.06706707	1.22115067
0.06756757	1.46483853
0.06806807	1.22819102
0.06856857	1.27090138
0.06906907	1.38097103
0.06956957	1.17296594
0.07007007	1.31515340
0.07057057	1.41939938
0.07107107	1.12413784
0.07157157	1.29947468
0.07207207	1.30304950
0.07257257	1.35121894
0.07307307	1.14524326
0.07357357	1.13272132
0.07407407	1.31271750
0.07457457	1.28590664
0.07507508	1.27687150
0.07557558	1.28201105
0.07607608	1.17483852
0.07657658	1.26147263
0.07707708	1.26289307
0.07757758	1.15742233
0.07807808	1.41064042
0.07857858	1.26658643
0.07907908	1.09514841
0.07957958	1.27494601
0.08008008	1.10677145
0.08058058	1.27783494
0.08108108	1.30981162
0.08158158	1.10664895
0.08208208	1.27976029
0.08258258	1.21934748
0.08308308	1.25486417
0.08358358	1.35686912
0.08408408	1.13712642
0.08458458	1.08071165
0.08508509	1.06149932
0.08558559	1.06318157
0.08608609	1.13131146
0.08658659	1.16734395
0.08708709	1.15505390
0.08758759	1.20420905
0.08808809	1.11684755
0.08858859	1.25490901
0.08908909	1.07705067
0.08958959	1.36944742
0.09009009	1.15386570
0.09059059	0.99940687
0.09109109	0.97181316
0.09159159	1.12088646
0.09209209	1.04398769
0.09259259	1.13138763
0.09309309	1.10092473
0.09359359	1.03989217
0.09409409	0.95603140
0.09459459	0.88272433
0.09509510	0.98301932
0.09559560	1.10673687
0.09609610	1.03589791
0.09659660	0.88327250
0.09709710	1.01848955
0.09759760	1.03299645
0.09809810	0.89934135
0.09859860	0.99633207
0.09909910	0.97998391
0.09959960	0.85304146
0.10010010	0.99626561
0.10060060	1.00968758
0.10110110	1.05501135
0.10160160	1.04515931
0.10210210	0.79506180
0.10260260	0.83207358
0.10310310	0.97036562
0.10360360	0.96322633
0.10410410	0.95631873
0.10460460	1.28303490
0.10510511	0.94778111
0.10560561	0.99716241
0.10610611	0.97190425
0.10660661	0.93452685
0.10710711	0.83073082
0.10760761	0.93101202
0.10810811	0.77067825
0.10860861	0.81711385
0.10910911	0.78508453
0.10960961	0.83462468
0.11011011	1.05071167
0.11061061	0.62532097
0.11111111	0.87346927
0.11161161	0.63636249
0.11211211	0.74322774
0.11261261	0.89209981
0.11311311	0.78241452
0.11361361	0.66099270
0.11411411	0.69001733
0.11461461	0.82228881
0.11511512	0.67407548
0.11561562	0.76154384
0.11611612	0.73724468
0.11661662	0.66032159
0.11711712	0.93267576
0.11761762	0.77447949
0.11811812	0.50138704
0.11861862	0.71536886
0.11911912	0.62337626
0.11961962	0.76764002
0.12012012	0.59599762
0.12062062	0.65664123
0.12112112	0.71149187
0.12162162	0.74046097
0.12212212	0.52676306
0.12262262	0.60626572
0.12312312	0.58516124
0.12362362	0.56028050
0.12412412	0.79513514
0.12462462	0.65208371
0.12512513	0.47851343
0.12562563	0.68942566
0.12612613	0.80291498
0.12662663	0.68702895
0.12712713	0.42495254
